OwnX,OwnY,OwnW,OwnDir,OwnDist,,,
-66,-46,88,124,135,,,
-66,-46,88,124,135,,,
-66,-46,88,124,135,,,
-66,-46,84,124,135,,,
-66,-46,84,124,135,,,
-66,-46,84,124,135,,,
-66,-46,84,124,135,,,
-66,-46,84,124,135,,,
-66,-46,84,124,135,,,
-66,-46,84,124,135,,,
-67,-45,92,123,135,,,
-67,-45,92,123,135,,,
-67,-45,92,123,135,,,
-67,-45,90,123,134,,,
-67,-45,90,123,134,,,
-67,-45,90,123,134,,,
-65,-47,90,125,136,,,
-65,-47,90,125,136,,,
-65,-47,90,125,136,,,
-65,-47,90,125,136,,,
-64,-49,91,127,136,,,
-64,-49,91,127,136,,,
-64,-49,91,127,136,,,
-62,-52,91,129,133,,,
-62,-52,91,129,133,,,
-62,-52,91,129,133,,,
-60,-54,94,131,133,,,
-60,-54,94,131,133,,,
-60,-54,94,131,133,,,
-59,-55,92,132,131,,,
-59,-55,92,132,131,,,
-59,-55,92,132,131,,,
-59,-55,92,132,131,,,
-61,-54,93,131,135,,,
-61,-54,93,131,135,,,
-61,-54,93,131,135,,,
-62,-52,92,129,138,,,
-62,-52,92,129,138,,,
-62,-52,92,129,138,,,
-62,-52,93,129,139,,,
-62,-52,93,129,139,,,
-62,-52,93,129,139,,,
-60,-56,93,133,126,,,
-60,-56,93,133,126,,,
-60,-56,93,133,126,,,
-60,-56,93,133,126,,,
-57,-60,95,136,132,,,
-57,-60,95,136,132,,,
-57,-60,95,136,132,,,
-56,-60,104,136,126,,,
-56,-60,104,136,126,,,
-56,-60,104,136,126,,,
-57,-59,104,135,128,,,
-57,-59,104,135,128,,,
-57,-59,104,135,128,,,
-65,-57,140,131,79,,,
-65,-57,140,131,79,,,
-65,-57,140,131,79,,,
-65,-57,140,131,79,,,
-58,-59,108,135,126,,,
-58,-59,108,135,126,,,
-58,-59,108,135,126,,,
-58,-61,130,136,83,,,
-58,-61,130,136,83,,,
-58,-61,130,136,83,,,
-49,-66,97,143,133,,,
-49,-66,97,143,133,,,
-49,-66,97,143,133,,,
-48,-68,95,144,126,,,
-48,-68,95,144,126,,,
-48,-68,95,144,126,,,
-48,-68,95,144,126,,,
-49,-67,100,143,127,,,
-49,-67,100,143,127,,,
-49,-67,100,143,127,,,
-55,-64,133,139,128,,,
-55,-64,133,139,128,,,
-55,-64,133,139,128,,,
-55,-65,138,139,127,,,
-55,-65,138,139,127,,,
-55,-65,138,139,127,,,
-45,-70,100,147,127,,,
-45,-70,100,147,127,,,
-45,-70,100,147,127,,,
-45,-70,100,147,127,,,
-43,-72,100,149,127,,,
-43,-72,100,149,127,,,
-43,-72,100,149,127,,,
-44,-72,101,148,125,,,
-44,-72,101,148,125,,,
-44,-72,101,148,125,,,
-52,-68,142,142,131,,,
-52,-68,142,142,131,,,
-52,-68,142,142,131,,,
-46,-69,100,146,1,,,
-46,-69,100,146,1,,,
-46,-69,100,146,1,,,
-46,-69,100,146,1,,,
-42,-72,110,149,124,,,
-42,-72,110,149,124,,,
-42,-72,110,149,124,,,
-37,-74,110,153,126,,,
-37,-74,110,153,126,,,
-37,-74,110,153,126,,,
-32,-77,112,157,126,,,
-32,-77,112,157,126,,,
-32,-77,112,157,126,,,
-33,-78,108,157,128,,,
-33,-78,108,157,128,,,
-33,-78,108,157,128,,,
-33,-78,108,157,128,,,
-31,-78,124,158,126,,,
-31,-78,124,158,126,,,
-31,-78,124,158,126,,,
-29,-79,128,159,1,,,
-29,-79,128,159,1,,,
-29,-79,128,159,1,,,
-28,-81,114,160,127,,,
-28,-81,114,160,127,,,
-28,-81,114,160,127,,,
-23,-82,122,164,133,,,
-23,-82,122,164,133,,,
-23,-82,122,164,133,,,
-23,-82,122,164,133,,,
-21,-83,126,165,127,,,
-21,-83,126,165,127,,,
-21,-83,126,165,127,,,
-21,-83,130,165,133,,,
-21,-83,130,165,133,,,
-21,-83,130,165,133,,,
-19,-84,124,167,98,,,
-19,-84,124,167,98,,,
-19,-84,124,167,98,,,
-15,-85,129,169,135,,,
-15,-85,129,169,135,,,
-15,-85,129,169,135,,,
-15,-85,129,169,135,,,
-13,-85,126,171,135,,,
-13,-85,126,171,135,,,
-13,-85,126,171,135,,,
-15,-85,128,169,130,,,
-15,-85,128,169,130,,,
-15,-85,128,169,130,,,
-16,-84,126,169,128,,,
-16,-84,126,169,128,,,
-16,-84,126,169,128,,,
-15,-84,128,169,128,,,
-15,-84,128,169,128,,,
-15,-84,128,169,128,,,
-11,-84,130,172,135,,,
-11,-84,130,172,135,,,
-11,-84,130,172,135,,,
-11,-84,130,172,135,,,
-9,-84,132,173,1,,,
-9,-84,132,173,1,,,
-9,-84,132,173,1,,,
-8,-84,135,174,134,,,
-8,-84,135,174,134,,,
-8,-84,135,174,134,,,
-6,-84,140,175,1,,,
-6,-84,140,175,1,,,
-6,-84,140,175,1,,,
-1,-84,143,179,134,,,
-1,-84,143,179,134,,,
-1,-84,143,179,134,,,
-1,-84,143,179,134,,,
5,-84,144,-176,1,,,
5,-84,144,-176,1,,,
5,-84,144,-176,1,,,
7,-84,146,-175,1,,,
7,-84,146,-175,1,,,
7,-84,146,-175,1,,,
7,-84,146,-175,1,,,
7,-84,146,-175,1,,,
7,-84,146,-175,1,,,
7,-84,146,-175,1,,,
5,-84,146,-176,134,,,
5,-84,146,-176,134,,,
5,-84,146,-176,134,,,
3,-84,144,-177,1,,,
3,-84,144,-177,1,,,
3,-84,144,-177,1,,,
5,-85,144,-176,1,,,
5,-85,144,-176,1,,,
5,-85,144,-176,1,,,
9,-85,142,-173,1,,,
9,-85,142,-173,1,,,
9,-85,142,-173,1,,,
9,-85,142,-173,1,,,
12,-84,143,-171,1,,,
12,-84,143,-171,1,,,
12,-84,143,-171,1,,,
13,-85,142,-171,1,,,
13,-85,142,-171,1,,,
13,-85,142,-171,1,,,
13,-85,142,-171,1,,,
13,-85,142,-171,1,,,
13,-85,142,-171,1,,,
16,-84,142,-169,1,,,
16,-84,142,-169,1,,,
16,-84,142,-169,1,,,
16,-84,142,-169,1,,,
21,-84,144,-165,1,,,
21,-84,144,-165,1,,,
21,-84,144,-165,1,,,
26,-83,142,-162,1,,,
26,-83,142,-162,1,,,
26,-83,142,-162,1,,,
31,-81,142,-159,1,,,
31,-81,142,-159,1,,,
31,-81,142,-159,1,,,
31,-81,142,-159,1,,,
31,-81,140,-159,1,,,
31,-81,140,-159,1,,,
31,-81,140,-159,1,,,
28,-82,140,-161,1,,,
28,-82,140,-161,1,,,
28,-82,140,-161,1,,,
27,-83,138,-161,1,,,
27,-83,138,-161,1,,,
27,-83,138,-161,1,,,
29,-82,137,-160,1,,,
29,-82,137,-160,1,,,
29,-82,137,-160,1,,,
29,-82,137,-160,1,,,
31,-82,137,-159,1,,,
31,-82,137,-159,1,,,
31,-82,137,-159,1,,,
34,-81,134,-157,1,,,
34,-81,134,-157,1,,,
34,-81,134,-157,1,,,
34,-82,132,-157,1,,,
34,-82,132,-157,1,,,
34,-82,132,-157,1,,,
34,-82,128,-157,1,,,
34,-82,128,-157,1,,,
34,-82,128,-157,1,,,
34,-82,128,-157,1,,,
35,-82,126,-156,1,,,
35,-82,126,-156,1,,,
35,-82,126,-156,1,,,
38,-81,127,-154,1,,,
38,-81,127,-154,1,,,
38,-81,127,-154,1,,,
42,-80,124,-152,1,,,
42,-80,124,-152,1,,,
42,-80,124,-152,1,,,
42,-80,124,-152,1,,,
45,-78,127,-150,1,,,
45,-78,127,-150,1,,,
45,-78,127,-150,1,,,
48,-77,118,-148,1,,,
48,-77,118,-148,1,,,
48,-77,118,-148,1,,,
50,-75,112,-146,1,,,
50,-75,112,-146,1,,,
50,-75,112,-146,1,,,
50,-75,112,-146,1,,,
53,-75,112,-144,1,,,
53,-75,112,-144,1,,,
53,-75,112,-144,1,,,
57,-74,110,-142,1,,,
57,-74,110,-142,1,,,
57,-74,110,-142,1,,,
60,-72,106,-140,1,,,
60,-72,106,-140,1,,,
60,-72,106,-140,1,,,
61,-71,106,-139,1,,,
61,-71,106,-139,1,,,
61,-71,106,-139,1,,,
61,-71,106,-139,1,,,
60,-69,105,-138,1,,,
60,-69,105,-138,1,,,
60,-69,105,-138,1,,,
61,-69,103,-138,1,,,
61,-69,103,-138,1,,,
61,-69,103,-138,1,,,
62,-69,103,-138,1,,,
